Year,Film,Awards and Nominees
2022,Cyrano,"Costume Design (Massimo Cantini Parrini),Make Up & Hair (Siân Miller, Alessandro Bertolazzi),Outstanding British Film (Tim Bevan, Eric Fellner, Joe Wright, Guy Heeley, Erica Schmidt),Production Design (Katie Spencer, Sarah Greenwood)"
2022,Do Not Feed The Pigeons,"British Short Animation (Antonin Niclass, Vladimir Krasilnikov, Jordi Morera)"
2022,Don't Look Up,"Best Film (Kevin Messick, Adam McKay),Leading Actor (Leonardo DiCaprio),Original Score (Nicholas Britell),Original Screenplay (Adam McKay)"
2022,Everybody's Talking About Jamie,"Outstanding British Film (Tom MacRae, Dan Gillespie Sells, Mark Herbert, Jonathan Butterell, Peter Carlton)"
2022,Everything Everywhere All at Once,"ACTOR IN A SUPPORTING ROLE (),ACTOR IN A SUPPORTING ROLE (Ke Huy Quan),ACTOR IN A SUPPORTING ROLE (No nominees listed),ACTRESS IN A LEADING ROLE (),ACTRESS IN A LEADING ROLE (Michelle Yeoh),ACTRESS IN A LEADING ROLE (No nominees listed),ACTRESS IN A SUPPORTING ROLE (),ACTRESS IN A SUPPORTING ROLE (Jamie Lee Curtis),ACTRESS IN A SUPPORTING ROLE (No nominees listed),BEST PICTURE (),BEST PICTURE (Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers),BEST PICTURE (No nominees listed),DIRECTING (),DIRECTING (Daniel Kwan and Daniel Scheinert),DIRECTING (No nominees listed),FILM EDITING (),FILM EDITING (No nominees listed),FILM EDITING (Paul Rogers),Golden Globe Award for Best Director (),Golden Globe Award for Best Director (No nominees listed),WRITING (Original Screenplay) (),WRITING (Original Screenplay) (No nominees listed),WRITING (Original Screenplay) (Written by Daniel Kwan & Daniel Scheinert)"
2022,Femme,"British Short Film (Ng Choon Ping, Hayley Williams, Rienkje Attoh, Sam H. Freeman, Sam Ritzenberg)"
2022,Flee,"Animated Film (Monica Hellström, Jonas Poher Rasmussen, Signe Byrge Sørensen, Charlotte De La Gournerie),Documentary (Monica Hellström, Jonas Poher Rasmussen, Signe Byrge Sørensen, Charlotte De La Gournerie)"
2022,Free Guy,"Special Visual Effects (Daniel Sudick, Bryan Grill, Swen Gillberg, Nikos Kalaitzidis)"
2022,Ghostbusters: Afterlife,"Special Visual Effects (Pier Lefebvre, Alessandro Ongaro, Sheena Duggal, Aharon Bourland)"
2022,Guillermo del Toro's Pinocchio,"ANIMATED FEATURE FILM (),ANIMATED FEATURE FILM (Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley),ANIMATED FEATURE FILM (No nominees listed),Animated Film (Mark Gustafson, Gary Ungar, Alex Bulkley, Guillermo del Toro),Golden Globe Award for Best Animated Feature Film (ShadowMachine, The Jim Henson Company),Golden Globe Award for Best Animated Feature Film (The Jim Henson Company, ShadowMachine),Original Score (Alexandre Desplat),Production Design (Guy Davis, Curt Enderle)"
2022,Happening,Director (Audrey Diwan)
2022,Harris Dickinson,"EE Rising Star Award (),EE Rising Star Award (No nominees listed)"
2022,House of Gucci,"Leading Actress (Lady Gaga),Make Up & Hair (Göran Lundström, Jana Carboni, Frederic Aspiras, Sarah Tanno, Giuliano Mariano),Outstanding British Film (Becky Johnston, Mark Huffam, Ridley Scott, Giannina Scott, Kevin J Walsh, Roberto Bentivegna)"
2022,Keyboard Fantasies,"Outstanding Debut By A British Writer, Director or Producer (Posy Dixon (Writer/Director), Liv Proctor (Producer))"
2022,Kodi Smit-McPhee,"EE Rising Star Award (),EE Rising Star Award (No nominees listed)"
2022,Lashana Lynch,"EE Rising Star Award (),EE Rising Star Award (No nominees listed)"
2022,Last Night in Soho,"Outstanding British Film (Tim Bevan & Eric Fellner, Edgar Wright, Nira Park, Krysty Wilson-Cairns),Sound (Julian Slater, Colin Nicolson, Dan Morgan, Tim Cavagin)"
2022,Licorice Pizza,"Best Film (Sara Murphy, Adam Somner, Paul Thomas Anderson),Director (Paul Thomas Anderson),Editing (Andy Jurgensen),Leading Actress (Alana Haim),Original Screenplay (Paul Thomas Anderson)"
2022,Luca,"Animated Film (Enrico Casarosa, Andrea Warren)"
2022,Mass,Supporting Actress (Ann Dowd)
2022,Millicent Simmonds,"EE Rising Star Award (),EE Rising Star Award (No nominees listed)"
2022,Navalny,"DOCUMENTARY FEATURE FILM (),DOCUMENTARY FEATURE FILM (Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris),DOCUMENTARY FEATURE FILM (No nominees listed),Documentary (Shane Boris, Melanie Miller, Odessa Rae, Diane Becker, Daniel Roher)"
2022,Night of the Living Dread,"British Short Animation (Ida Melum, Laura Jayne Tunbridge, Danielle Goff, Hannah Kelso)"
2022,Nightmare Alley,"Cinematography (Dan Laustsen),Costume Design (Luis Sequeira),Production Design (Tamara Deverell, Shane Vieau)"
2022,No Time To Die,"Cinematography (Linus Sandgren),Editing (Elliot Graham, Tom Cross),Outstanding British Film (Phoebe Waller-Bridge, Neal Purvis, Michael G. Wilson, Cary Joji Fukunaga, Robert Wade, Barbara Broccoli),Sound (Paul Massey, Simon Hayes, Oliver Tarney, James Harrison, Mark Taylor),Special Visual Effects (Joel Green, Chris Corbould, Charlie Noble, Mark Bakowski)"
2022,Parallel Mothers,"Film Not in the English Language (Pedro Almodóvar, Agustín Almodóvar)"
